variable,label,,values,2007,2008,2009,2010,2011,2012,2014,2016
,,428,"Daya Dist., Taichung County",,,,,,,,
,,429,"Shengang Dist., Taichung County",,,,,,,,
,,432,"Dadu Dist., Taichung County",,,,,,,,
,,433,"Shalu Dist., Taichung County",,,,,,,,
,,434,"Longjing Dist., Taichung County",,,,,,,,
,,435,"Wuqi Dist., Taichung County",,,,,,,,
,,436,"Qingshui Dist., Taichung County",,,,,,,,
,,437,"Dajia Dist., Taichung County",,,,,,,,
,,438,"Waipu Dist., Taichung County",,,,,,,,
,,439,"Da'an Dist., Taichung County",,,,,,,,
,,440,Taichung County,,,,,,,,
,,499,Taichung City and Taichung County,,,,,,,,
,,500,"Changhua City, Changhua County",,,,,,,,
,,502,"Fenyuan Township, Changhua County",,,,,,,,
,,503,"Huatan Township, Changhua County",,,,,,,,
,,504,"Xiushui Township, Changhua County",,,,,,,,
,,505,"Lukang Township, Changhua County",,,,,,,,
,,506,"Fuxing Township, Changhua County",,,,,,,,
,,507,"Xianxi Township, Changhua County",,,,,,,,
,,508,"Hemei Township, Changhua County",,,,,,,,
,,509,"Shengang Township, Changhua County",,,,,,,,
,,510,"Yuanlin Township, Changhua County",,,,,,,,
,,511,"Shetou Township, Changhua County",,,,,,,,
,,512,"Yongjing Township, Changhua County",,,,,,,,
,,513,"Puxin Township, Changhua County",,,,,,,,
,,514,"Xihu Township, Changhua County",,,,,,,,
,,515,"Dacun Township, Changhua County",,,,,,,,
,,516,"Puyan Township, Changhua County",,,,,,,,
,,520,"Tianzhong Township, Changhua County",,,,,,,,
,,521,"Beidou Township, Changhua County",,,,,,,,
,,522,"Tianwei Township, Changhua County",,,,,,,,
,,523,"Pitou Township, Changhua County",,,,,,,,
,,524,"Xizhou Township, Changhua County",,,,,,,,
,,525,"Zhutang Township, Changhua County",,,,,,,,
,,526,"Erlin Township, Changhua County",,,,,,,,
,,527,"Dacheng Township, Changhua County",,,,,,,,
,,528,"Fangyuan Township, Changhua County",,,,,,,,
,,530,"Ershui Township, Changhua County",,,,,,,,
,,531,Changhua County,,,,,,,,
,,540,"Nantou City, Nantou County",,,,,,,,
,,541,"Zhongliao Township, Nantou County",,,,,,,,
,,542,"Caotun Township, Nantou County",,,,,,,,
,,544,"Guoxing Township, Nantou County",,,,,,,,
,,545,"Puli Township, Nantou County",,,,,,,,
,,546,"Ren'ai Township, Nantou County",,,,,,,,
,,551,"Mingjian Township, Nantou County",,,,,,,,
,,552,"Jiji Township, Nantou County",,,,,,,,
,,553,"Shuili Township, Nantou County",,,,,,,,
,,555,"Yuchi Township, Nantou County",,,,,,,,
,,556,"Xinyi Township, Nantou County",,,,,,,,
,,557,"Zhushan Township, Nantou County",,,,,,,,
,,558,"Lugu Township, Nantou County",,,,,,,,
,,559,Nantou County,,,,,,,,
,,600,Chiayi City,,,,,,,,
,,602,"Fanlu Township, Chiayi County",,,,,,,,
,,603,"Meishan Township, Chiayi County",,,,,,,,
,,604,"Zhuqi Township, Chiayi County",,,,,,,,
,,605,"Alishan Township, Chiayi County",,,,,,,,
,,606,"Zhongpu Township, Chiayi County",,,,,,,,
,,607,"Dapu Township, Chiayi County",,,,,,,,
,,608,"Shuishang Township, Chiayi County",,,,,,,,
,,611,"Lucao Township, Chiayi County",,,,,,,,
,,612,"Taibao City, Chiayi County",,,,,,,,
,,613,"Puzi City, Chiayi County",,,,,,,,
,,614,"Dongshi Township, Chiayi County",,,,,,,,
,,615,"Liujiao Township, Chiayi County",,,,,,,,
,,616,"Xingang Township, Chiayi County",,,,,,,,
,,621,"Minxiong Township, Chiayi County",,,,,,,,
,,622,"Dalin Township, Chiayi County",,,,,,,,
,,623,"Xikou Township, Chiayi County",,,,,,,,
,,624,"Yizhu Township, Chiayi County",,,,,,,,
,,625,"Budai Township, Chiayi County",,,,,,,,
,,626,Chiayi County,,,,,,,,
,,630,"Dounan Township, Yunlin County",,,,,,,,
,,631,"Dapi Township, Yunlin County",,,,,,,,
,,632,"Huwei Township, Yunlin County",,,,,,,,
,,633,"Tuku Township, Yunlin County",,,,,,,,
,,634,"Baozhong Township, Yunlin County",,,,,,,,
,,635,"Dongshi Township, Yunlin County",,,,,,,,
,,636,"Taixi Township, Yunlin County",,,,,,,,
,,637,"Lunbei Township, Yunlin County",,,,,,,,
,,638,"Mailiao Township, Yunlin County",,,,,,,,
,,640,"Douliu City, Yunlin County",,,,,,,,
,,643,"Linnei Township, Yunlin County",,,,,,,,
,,646,"Gukeng Township, Yunlin County",,,,,,,,
,,647,"Citong Township, Yunlin County",,,,,,,,
,,648,"Xiluo Township, Yunlin County",,,,,,,,
,,649,"Erlun Township, Yunlin County",,,,,,,,
,,651,"Beigang Township, Yunlin County",,,,,,,,
,,652,"Shuilin Township, Yunlin County",,,,,,,,
,,653,"Kouhu Township, Yunlin County",,,,,,,,
,,654,"Sihu Township, Yunlin County",,,,,,,,
,,655,"Yuanchang Township, Yunlin County",,,,,,,,
,,656,Yunlin County,,,,,,,,
,,699,Chiayi City and Chiayi County,,,,,,,,
,,700,"West Dist., Tainan City",,,,,,,,
,,701,"East Dist., Tainan City",,,,,,,,
,,702,"South Dist., Tainan City",,,,,,,,
,,704,"North Dist., Tainan City",,,,,,,,
,,708,"Anping Dist., Tainan City",,,,,,,,
,,709,"Annan Dist., Tainan City",,,,,,,,
,,710,"Yongkang Dist., Tainan County",,,,,,,,
,,711,"Guiren Dist., Tainan County",,,,,,,,
,,712,"Xinhua Dist., Tainan Count",,,,,,,,
,,713,"Zuozhen Dist., Tainan County",,,,,,,,
,,714,"Yujing Dist., Tainan County",,,,,,,,
,,715,"Nanxi Dist., Tainan County",,,,,,,,
,,716,"Nanhua Dist., Tainan County",,,,,,,,
,,717,"Rende Dist., Tainan County",,,,,,,,
,,718,"Guanmiao Dist., Tainan County",,,,,,,,
,,719,"Longqi Dist., Tainan County",,,,,,,,
,,720,"Guantian Dist., Tainan County",,,,,,,,
,,721,"Madou Dist., Tainan County",,,,,,,,
,,722,"Jiali Dist., Tainan County",,,,,,,,
,,723,"Xigang Dist., Tainan County",,,,,,,,
,,724,"Qigu Dist., Tainan County",,,,,,,,
,,725,"Jiangjun Dist., Tainan County",,,,,,,,
,,726,"Xuejia Dist., Tainan County",,,,,,,,
,,727,"Beimen Dist., Tainan County",,,,,,,,
,,730,"Xinying Dist., Tainan County",,,,,,,,
,,731,"Houbi Dist., Tainan County",,,,,,,,
,,732,"Baihe Dist., Tainan County",,,,,,,,
,,733,"Dongshan Dist., Tainan County",,,,,,,,
,,734,"Liujia Dist., Tainan County",,,,,,,,
,,735,"Xiaying Dist., Tainan County",,,,,,,,
,,736,"Liuying Dist., Tainan County",,,,,,,,
,,737,"Yanshui Dist., Tainan County",,,,,,,,
,,741,"Shanhua Dist., Tainan County",,,,,,,,
,,742,"Danei Dist., Tainan County",,,,,,,,
,,743,"Shanshang Dist., Tainan County",,,,,,,,
,,744,"Xinshi Dist., Tainan County",,,,,,,,
,,745,"Anding Dist., Tainan County",,,,,,,,
,,746,Tainan County,,,,,,,,
,,747,Tainan City,,,,,,,,
,,799,Tainan City and Tainan County,,,,,,,,
,,801,"Qianjin Dist., Kaohsiung City",,,,,,,,
,,802,"Lingya Dist., Kaohsiung City",,,,,,,,
,,803,"Yancheng Dist., Kaohsiung City",,,,,,,,
,,804,"Gushan Dist., Kaohsiung City",,,,,,,,
,,805,"Qijin Dist., Kaohsiung City",,,,,,,,
,,806,"Qianzhen Dist., Kaohsiung City",,,,,,,,
,,807,"Sanmin Dist., Kaohsiung City",,,,,,,,
,,811,"Nanzi Dist., Kaohsiung City",,,,,,,,
,,812,"Xiaogang Dist., Kaohsiung City",,,,,,,,
,,813,"Zuoying Dist., Kaohsiung City",,,,,,,,
,,814,"Renwu Dist., Kaohsiung County",,,,,,,,
,,815,"Dashe Dist., Kaohsiung County",,,,,,,,
,,817,"Dongsha Islands, Nanhai Islands",,,,,,,,
,,819,"Nansha Islands, Nanhai Islands",,,,,,,,
,,820,"Gangshan Dist., Kaohsiung County",,,,,,,,
,,821,"Luzhu Dist., Kaohsiung County",,,,,,,,
,,822,"Alian Dist., Kaohsiung County",,,,,,,,
,,823,"Tianliao Dist., Kaohsiung County",,,,,,,,
,,824,"Yanchao Dist., Kaohsiung County",,,,,,,,
,,825,"Qiaotou Dist., Kaohsiung County",,,,,,,,
,,826,"Ziguan Dist., Kaohsiung County",,,,,,,,
,,827,"Mituo Dist., Kaohsiung County",,,,,,,,
,,828,"Yong'an Dist., Kaohsiung County",,,,,,,,
,,829,"Hunei Dist., Kaohsiung County",,,,,,,,
,,830,"Fengshan Dist., Kaohsiung County",,,,,,,,
,,831,"Daliao Dist., Kaohsiung County",,,,,,,,
,,832,"Linyuan Dist., Kaohsiung County",,,,,,,,
,,833,"Niaosong Dist., Kaohsiung County",,,,,,,,
,,840,"Dashu Dist., Kaohsiung County",,,,,,,,
,,842,"Qishan Dist., Kaohsiung County",,,,,,,,
,,843,"Meinong Dist., Kaohsiung County",,,,,,,,
,,844,"Liugui Dist., Kaohsiung County",,,,,,,,
,,845,"Neimen Dist., Kaohsiung County",,,,,,,,
,,846,"Shanlin Dist., Kaohsiung County",,,,,,,,
,,847,"Jiaxian Dist., Kaohsiung County",,,,,,,,
,,848,"Taoyuan Dist., Kaohsiung County",,,,,,,,
,,849,"Sanming Dist., Kaohsiung County",,,,,,,,
,,851,"Maolin Dist., Kaohsiung County",,,,,,,,
,,852,"Qieding Dist., Kaohsiung County",,,,,,,,
,,853,Kaohsiung County,,,,,,,,
,,854,Kaohsiung City,,,,,,,,
,,880,"Magong City, Penghu County",,,,,,,,
,,881,"Xiyu Township, Penghu County",,,,,,,,
,,882,"Wang'an Township, Penghu County",,,,,,,,
,,883,"Qimei Township, Penghu County",,,,,,,,
,,884,"Baisha Township, Penghu County",,,,,,,,
,,885,"Huxi Township, Penghu County",,,,,,,,
,,886,Penhu County,,,,,,,,
,,890,"Jinsha Township, Kinmen County",,,,,,,,
,,891,"Jinhu Township, Kinmen County",,,,,,,,
,,892,"Jinning Township, Kinmen County",,,,,,,,
,,893,"Jincheng Township, Kinmen County",,,,,,,,
,,894,"Lieyu Township, Kinmen County",,,,,,,,
,,896,"Wuqiu Township, Kinmen County",,,,,,,,
,,897,Kinmen County,,,,,,,,
,,899,Kaohsiung City and Kaohsiung County,,,,,,,,
,,900,"Pingtung City, Pingtung County",,,,,,,,
,,901,"Sandimen Township, Pingtung County",,,,,,,,
,,902,"Wutai Township, Pingtung County",,,,,,,,
,,903,"Majia Township, Pingtung County",,,,,,,,
,,904,"Jiuru Township, Pingtung County",,,,,,,,
,,905,"Ligang Township, Pingtung County",,,,,,,,
,,906,"Gaoshu Township, Pingtung County",,,,,,,,
,,907,"Yanpu Township, Pingtung County",,,,,,,,
,,908,"Changzhi Township, Pingtung County",,,,,,,,
,,909,"Linluo Township, Pingtung County",,,,,,,,
,,911,"Zhutian Township, Pingtung County",,,,,,,,
,,912,"Neipu Township, Pingtung County",,,,,,,,
,,913,"Wandan Township, Pingtung County",,,,,,,,
,,920,"Chaozhou Township, Pingtung County",,,,,,,,
,,921,"Taiwu Township, Pingtung County",,,,,,,,
,,922,"Laiyi Township, Pingtung County",,,,,,,,
,,923,"Wanluan Township, Pingtung County",,,,,,,,
,,924,"Kanding Township, Pingtung County",,,,,,,,
,,925,"Xinpi Township, Pingtung County",,,,,,,,
,,926,"Nanzhou Township, Pingtung County",,,,,,,,
,,927,"Linbian Township, Pingtung County",,,,,,,,
,,928,"Donggang Township, Pingtung County",,,,,,,,
,,929,"Liuqiu Township, Pingtung County",,,,,,,,
,,931,"Jiadong Township, Pingtung County",,,,,,,,
,,932,"Xinyuan Township, Pingtung County",,,,,,,,
,,940,"Fangliao Township, Pingtung County",,,,,,,,
,,941,"Fangshan Township, Pingtung County",,,,,,,,
,,942,"Chunri Township, Pingtung County",,,,,,,,
,,943,"Shizi Township, Pingtung County",,,,,,,,
,,944,"Checheng Township, Pingtung County",,,,,,,,
,,945,"Mudan Township, Pingtung County",,,,,,,,
,,946,"Hengchun Township, Pingtung County",,,,,,,,
,,947,"Manzhou Township, Pingtung County",,,,,,,,
,,948,Pingtung County,,,,,,,,
,,950,"Taitung City, Taitung County",,,,,,,,
,,951,"Ludao Township, Taitung County",,,,,,,,
,,952,"Lanyu Township, Taitung County",,,,,,,,
,,953,"Yanping Township, Taitung County",,,,,,,,
,,954,"Beinan Township, Taitung County",,,,,,,,
,,955,"Luye Township, Taitung County",,,,,,,,
,,956,"Guanshan Township, Taitung County",,,,,,,,
,,957,"Haiduan Township, Taitung County",,,,,,,,
,,958,"Chishang Township, Taitung County",,,,,,,,
,,959,"Donghe Township, Taitung County",,,,,,,,
,,961,"Chenggong Township, Taitung County",,,,,,,,
,,962,"Changbin Township, Taitung County",,,,,,,,
,,963,"Taimali Township, Taitung County",,,,,,,,
,,964,"Jinfeng Township, Taitung County",,,,,,,,
,,965,"Dawu Township, Taitung County",,,,,,,,
,,966,"Daren Township, Taitung County",,,,,,,,
,,967,Taitung County,,,,,,,,
,,970,"Hualien City, Hualien County",,,,,,,,
,,971,"Xincheng Township, Hualien County",,,,,,,,
,,972,"Xiulin Township, Hualien County",,,,,,,,
,,973,"Ji'an Township, Hualien County",,,,,,,,
,,974,"Shoufeng Township, Hualien County",,,,,,,,
,,975,"Fenglin Township, Hualien County",,,,,,,,
,,976,"Guangfu Township, Hualien County",,,,,,,,
,,977,"Fengbin Township, Hualien County",,,,,,,,
,,978,"Ruisui Township, Hualien County",,,,,,,,
,,979,"Wanrong Township, Hualien County",,,,,,,,
,,981,"Yuli Township, Hualien County",,,,,,,,
,,982,"Zhuoxi Township, Hualien County",,,,,,,,
,,983,"Fuli Township, Hualien County",,,,,,,,
relationship,Respondent¡¦s relation with the head of household,1, Self,x07,x07,x07,x07,x07,x07,x07,x07
,,2, Spouse,,,,,,,,
,,3, Parent or child,,,,,,,,
,,4, Sibling,,,,,,,,
,,5, Relative,,,,,,,,
,,6, Friend,,,,,,,,
,,97,Others,,,,,,,,
